epoch,step,train_acc_epoch,train_f1_epoch,train_loss_epoch,train_precision_epoch,train_recall_epoch,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,0.59375,,0.59375,,1.0352474451065063,,0.59375,,0.59375
,1,,,,,,,0.609375,,0.609375,,1.0254396200180054,,0.609375,,0.609375
,2,,,,,,,0.5909090638160706,,0.5909090638160706,,1.060882806777954,,0.5909090638160706,,0.5909090638160706
0,10,,,,,,0.6000000238418579,,0.6000000238418579,,1.0348225831985474,,0.6000000238418579,,0.6000000238418579,
0,10,0.43937233090400696,0.43937233090400696,1.0605486631393433,0.43937233090400696,0.43937233090400696,,,,,,,,,,
,3,,,,,,,0.671875,,0.671875,,0.9780956506729126,,0.671875,,0.671875
,4,,,,,,,0.609375,,0.609375,,0.9740579724311829,,0.609375,,0.609375
,5,,,,,,,0.7272727489471436,,0.7272727489471436,,0.9916414618492126,,0.7272727489471436,,0.7272727489471436
1,21,,,,,,0.653333306312561,,0.653333306312561,,0.9783596992492676,,0.653333306312561,,0.653333306312561,
1,21,0.5763195157051086,0.5763195157051086,0.9831586480140686,0.5763195157051086,0.5763195157051086,,,,,,,,,,
,6,,,,,,,0.640625,,0.640625,,0.9308397769927979,,0.640625,,0.640625
,7,,,,,,,0.609375,,0.609375,,0.9245712161064148,,0.609375,,0.609375
,8,,,,,,,0.6363636255264282,,0.6363636255264282,,0.9778861999511719,,0.6363636255264282,,0.6363636255264282
2,32,,,,,,0.6266666650772095,,0.6266666650772095,,0.9350653290748596,,0.6266666650772095,,0.6266666650772095,
2,32,0.656205415725708,0.656205415725708,0.9164634346961975,0.656205415725708,0.656205415725708,,,,,,,,,,
